ORG_Entity,Lemma_Entity,Suspicious,Lemma_Cleaned,Matched_Category
CNBM,cenk,False,cenk,Company / Business
Komisji Etyki,komisja etyka,False,komisja etyka,Government / Public Administration
Biuro Polskie RP,biuro polski roktóry,False,biuro polski rp,Government / Public Administration
PMOD Technologies LLC,podpoce technologies llcyb_poa,True,podpoce technologies llcyb_poa,Company / Business
NCEP,ncep,False,ncep,Government / Public Administration
Fundacja Ignatianum,fundacja ignatianum,False,fundacja ignatianum,NGO / Association / Foundation
Górnośląskiego Przedsiębiorstwa Wodociągów S.A.,górnośląski przedsiębiorstwo wodociąg s.a .,False,górnośląski przedsiębiorstwo wodociąg s.a.,Company / Business
IEn,ien,False,ien,Other / Unclear
PZSN,podnopip,False,podnopip,NGO / Association / Foundation
EC1,ec1,False,ec1,Cultural Institution / Arts
DR2,dr2,False,dr2,Company / Business
NFZ,na_tymcpabep,True,na_tymcpabep,Government / Public Administration
APAC Editorial Fund,apac editorial fund,False,apac editorial fund,Company / Business
Cilium Engineering,cilium engineering,False,cilium engineering,Company / Business
Żywieckiej Wytwórni Piwa,żywieckie wytwórnia piwo,False,żywieckie wytwórnia piwo,Company / Business
Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa,wojewódzki inspektorat ochrona roślina i nasiennictwo,False,wojewódzki inspektorat ochrona roślina i nasiennictwo,Government / Public Administration
PetroSter,petroster,False,petroster,Company / Business
Kościołem katolickim,kościół katolicki,False,kościół katolicki,Religious Organization
OPERAS AISBL,operas aisbl,False,operas aisbl,International Organization / EU
Dun & Bradstreet,dun & bradstreet,False,dun & bradstreet,Company / Business
Instytucie Studiów Europejskich,instytut studia europejski,False,instytut studia europejski,International Organization / EU
Kinderkraft,kinderkraft,False,kinderkraft,Company / Business
Krajowej Szkoły Sądownictwa i Prokuratury w Krakowie,krajowy szkoła sądownictwo i prokuratura w krakowie,False,krajowy szkoła sądownictwo i prokuratura w krakowie,Government / Public Administration
ENINA,enina,False,enina,NGO / Association / Foundation
Kancelarię Prezydenta RP,kancelaria prezydent roktóry,False,kancelaria prezydent rp,Government / Public Administration
Amerykańskie Towarzystwo Diabetologiczne,amerykański towarzystwo diabetologiczne,False,amerykański towarzystwo diabetologiczne,NGO / Association / Foundation
Kino Pomorzanin sp. z o.o.,kino pomorzanin sa . z ograniczona_odpowiedzialność .,True,kino pomorzanin s.a. z o.o.,Company / Business
PGG-Marcel,pgg-marcel,False,pgg-marcel,Company / Business
WoS-u,wos-e,True,wos-e,Media / Publishing
WM PB,wmięt_zyał pod_tytułem,True,wmięt_zyał pod_tytułem,Other / Unclear
Polskiego Centrum Akredytacji,polski centrum akredytacja,False,polski centrum akredytacja,Government / Public Administration
Ekai,ekai,False,ekai,Media / Publishing
TBS ZGM Częstochowa,to_ym_podobne zięmygstam częstochowa,True,to_ym_podobne zięmygstam częstochowa,Government / Public Administration
Rady Nadzorczej Spółki,rada nadzorczy spółka,False,rada nadzorczy spółka,Government / Public Administration
Dowództwo Wojsk Specjalnych,dowództwo wojsko specjalny,False,dowództwo wojsko specjalny,Military / Defense / Security
Wojewódzkich Sądów Administracyjnych,wojewódzki sąd administracyjny,False,wojewódzki sąd administracyjny,Government / Public Administration
Petrobaltic,petrobaltic,False,petrobaltic,Company / Business
W3A.PL,w3a.pl,True,w3a.pl,Company / Business
NFOŚiGW,nfośigw,False,nfośigw,Government / Public Administration
Windmühle,windmüheł,False,windmüheł,Other / Unclear
Schmuckmuseum Pforzheim,schmuckmuseum pforzheim,False,schmuckmuseum pforzheim,Cultural Institution / Arts
FAOSTAT,faostat,False,faostat,International Organization / EU
Sił Zbrojnych,siła zbrojny,False,siła zbrojny,Military / Defense / Security
RSI,rięty,False,rięty,Other / Unclear
Skarbu Państwa,skarb państwo,False,skarb państwo,Government / Public Administration
EuropeActive,europeactive,False,europeactive,NGO / Association / Foundation
AKK,akk,False,akk,Education (non-university)
Państwowej Agencji Atomistyki,państwowy agencja atomistyki,False,państwowy agencja atomistyki,Government / Public Administration
BWA Katowice,bwa katowice,False,bwa katowice,Cultural Institution / Arts
POLIN,polin,False,polin,Cultural Institution / Arts
WCZK,wczk,False,wczk,Government / Public Administration
PTM,po_ewsdytyktowies,True,po_ewsdytyktowies,NGO / Association / Foundation
PZPC,podcpytypa,False,podcpytypa,NGO / Association / Foundation
Zakonu Karmelitów,zakon karmelit,False,zakon karmelit,Religious Organization
Gazety Lekarskiej,gazeta lekarski,False,gazeta lekarski,Media / Publishing
Urząd Marszałkowski Województwa Podkarpackiego,urząd marszałkowski województwo podkarpackiego,False,urząd marszałkowski województwo podkarpackiego,Government / Public Administration
ASP,aspycpyptad,False,aspycpyptad,Other / Unclear
FORTHEM,forthe,False,forthe,International Organization / EU
Zespół Behawioralnych Uwarunkowań Żywienia,zespół behawioralny uwarunkowanie żywienia,False,zespół behawioralny uwarunkowanie żywienia,Other / Unclear
Rady ds. Przedsiębiorczości,rada do_spraw . przedsiębiorczość,True,rada ds. przedsiębiorczość,Government / Public Administration
Biuro Rzecznika Praw Dziecka,biuro rzecznik prawo dziecko,False,biuro rzecznik prawo dziecko,Government / Public Administration
CPC IEn,cpc ien,False,cpc ien,Government / Public Administration
MOS,mos,False,mos,Government / Public Administration
Ministerstwa Energii,ministerstwo energia,False,ministerstwo energia,Government / Public Administration
Międzyetniczne Stowarzyszenie na rzecz Rozwoju Amazonii Peruwiańskiej,międzyetniczne stowarzyszenie na rzecz rozwój amazonii peruwiańska,False,międzyetniczne stowarzyszenie na rzecz rozwój amazonii peruwiańska,NGO / Association / Foundation
Samodzielne Pododdziały Antyterrorystyczne Policji,samodzielny pododdział antyterrorystyczny policja,False,samodzielny pododdział antyterrorystyczny policja,Military / Defense / Security
SSW Pragmatic Solution,sięjś pragmatic solution,False,sięjś pragmatic solution,Company / Business
Wojewódzkiego Pogotowia Ratunkowego,wojewódzki pogotowie ratunkowy,False,wojewódzki pogotowie ratunkowy,Government / Public Administration
Związek Harcerstwa Rzeczpospolitej,związek harcerstwo rzeczpospolita,False,związek harcerstwo rzeczpospolita,Government / Public Administration
Krajowej Radzie Statystyki,krajowy rada statystyka,False,krajowy rada statystyka,Government / Public Administration
NLF,no_awnpa,True,no_awnpa,Other / Unclear
Rada Zarządzająca,rada zarządzać,False,rada zarządzać,Government / Public Administration
Polska Agencja Rozwoju Przedsiębiorczości,polski agencja rozwój przedsiębiorczość,False,polski agencja rozwój przedsiębiorczość,Government / Public Administration
Zakład,zakład,False,zakład,Other / Unclear
Radiu Kraków,radio krak,False,radio krak,Media / Publishing
Domy Pomocy,dom pomoc,False,dom pomoc,Cultural Institution / Arts
Teatru Muzycznego,teatr muzyczny,False,teatr muzyczny,Cultural Institution / Arts
Urzędem Marszałkowskim Województwa Warmińsko-Mazurskiego,urząd marszałkowski województwo warmiński - mazurski,False,urząd marszałkowski województwo warmiński - mazurski,Government / Public Administration
Ministerstwie Inwestycji i Rozwoju,ministerstwo inwestycja i rozwój,False,ministerstwo inwestycja i rozwój,Government / Public Administration
NASK S.A.,nask s.a .,False,nask s.a.,Company / Business
Urzędu Marszałkowskiego Województwa Kujawsko-Pomorskiego,urząd marszałkowski województwo kujawski - pomorski,False,urząd marszałkowski województwo kujawski - pomorski,Government / Public Administration
Grupy PKP CARGO,grupa podpata cargo,False,grupa podpata cargo,Company / Business
Nowoczesna Elektronika,nowoczesny elektronika,False,nowoczesny elektronika,Company / Business
WHiDK,whidk,False,whidk,Other / Unclear
Teatru,teatr,False,teatr,Cultural Institution / Arts
Alsitech,alsitech,False,alsitech,Company / Business
Wojewódzki Sąd Admin.,wojewódzki sąd admin .,False,wojewódzki sąd admin .,Government / Public Administration
ADB,ad_a,True,ad_a,Other / Unclear
BHH Mikromed,bhh mikromed,False,bhh mikromed,Company / Business
Europejskiego Funduszu Społecznego,europejski fundusz społeczny,False,europejski fundusz społeczny,International Organization / EU
BoM,bom,False,bom,Other / Unclear
SPG,sartpetuc,False,sartpetuc,Other / Unclear
Harrassovitz Verlag,harrassovitz verlag,False,harrassovitz verlag,Media / Publishing
Association of Business Service Leaders,association of business service leaders,False,association of business service leaders,NGO / Association / Foundation
Ministerstwa Edukacji Narodowej,ministerstwo edukacja narodowy,False,ministerstwo edukacja narodowy,Government / Public Administration
B+R RES,bietącpna res,False,bietącpna res,Other / Unclear
UEK,uek,False,uek,International Organization / EU
Biblioteka Towarzystwa Lekarskiego Częstochowskiego,biblioteka towarzystwo lekarski częstochowski,False,biblioteka towarzystwo lekarski częstochowski,NGO / Association / Foundation
CASE,case,False,case,Company / Business
SARP Oddział Opole,sarpa oddział opole,False,sarpa oddział opole,Government / Public Administration
Polish Aid,polish aid,False,polish aid,Government / Public Administration
CEN,cena,False,cena,Education (non-university)
Banki,bank,False,bank,Other / Unclear
UCK,uck,False,uck,Other / Unclear
SciTech Daily,scitech daily,False,scitech daily,Media / Publishing
SALUBRIS Sp. z o.o. Sp. k.,salubris sa . z ograniczona_odpowiedzialność . sa . kodeks .,True,salubris s.a. z o.o. s.a. kodeks .,Company / Business
IBB,i_tym_podobne,True,i_tym_podobne,Other / Unclear
BgPN,bo_zed_tobib,True,bo_zed_tobib,Government / Public Administration
Agromarina Sp z o.o.,agromarina sa z ograniczona_odpowiedzialność .,True,agromarina sa z o.o.,Company / Business
Palgrave,palgrave,False,palgrave,Media / Publishing
Szkole Orłów,szkoła orłowie,False,szkoła orłowie,Education (non-university)
Tok FM,tok fektometr_pici,True,tok FM,Media / Publishing
HBM4EU,hbm4eu,False,hbm4eu,International Organization / EU
KFA,kfa,False,kfa,Company / Business
Inspekcja Jakości Handlowej Artykułów Rolno-Spożywczych,inspekcja jakość handlowy artykuł rolny - spożywczy,False,inspekcja jakość handlowy artykuł rolny - spożywczy,Government / Public Administration
WSPol,wspol,False,wspol,Government / Public Administration
Haldex S. z o.o.,haldex strona . z ograniczona_odpowiedzialność .,True,haldex strona . z o.o.,Company / Business
BREMBO,brembo,False,brembo,Company / Business
Mishpacha,mishpach,False,mishpach,Media / Publishing
Komisji Ekspertów,komisja ekspert,False,komisja ekspert,Government / Public Administration
BACTrem,bactrem,False,bactrem,Company / Business
Europeana,european,False,european,International Organization / EU
Komendy Stołecznej Policji,komenda stołeczny policja,False,komenda stołeczny policja,Military / Defense / Security
Centrum Radonowego,centrum radonowego,False,centrum radonowego,Government / Public Administration
BIOTOP AG,biotop ag,False,biotop ag,Company / Business
Komisji Kultury i Środków Przekazu Sejmu RP,komisja kultura i środek przekaz sejm roktóry,False,komisja kultura i środek przekaz sejm rp,Government / Public Administration
HIPRA,hipra,False,hipra,Company / Business
FROT,frot,False,frot,Company / Business
The İstanbul Artist Residency,the i̇stanbul artist residenca,False,the i̇stanbul artist residenca,Cultural Institution / Arts
AIK,aik,False,aik,Other / Unclear
Europejskiej Komisji Gospodarczej ONZ,europejski komisja gospodarczy onz,False,europejski komisja gospodarczy onz,Government / Public Administration
Polskiej Pediatrycznej Grupy ds. Leczenia Białaczek i Chłoniaków,polski pediatryczna grupa do_spraw . leczenie białaczek i chłoniak,True,polski pediatryczna grupa ds. leczenie białaczek i chłoniak,Company / Business
TAURON,tauron,False,tauron,Company / Business
Urzędu Marszałkowskiego Woj. Podkarpackiego,urząd marszałkowski województwo . podkarpackiego,False,urząd marszałkowski województwo . podkarpackiego,Government / Public Administration
MON,mon,False,mon,Government / Public Administration
ZBA,zba,False,zba,Other / Unclear
Paese,paes,False,paes,Company / Business
INCO S.A.,inco s.a .,False,inco s.a.,Company / Business
Ministerstwem Inwestycji i Rozwoju,ministerstwo inwestycja i rozwój,False,ministerstwo inwestycja i rozwój,Government / Public Administration
Społecznego Komitetu Ochrony Zabytków Krakowa,społeczny komitet ochrona zabytek krakowa,False,społeczny komitet ochrona zabytek krakowa,NGO / Association / Foundation
Kościoła prawosławnego,kościół prawosławny,False,kościół prawosławny,Religious Organization
Związek Górnośląski,związek górnośląski,False,związek górnośląski,NGO / Association / Foundation
KG Policji,kilogram policja,False,kilogram policja,Military / Defense / Security
Agencję Bezpieczeństwa Wewnętrznego,agencja bezpieczeństwo wewnętrzny,False,agencja bezpieczeństwo wewnętrzny,Military / Defense / Security
Gaude Mater,gaude mater,False,gaude mater,Cultural Institution / Arts
Fundacji,fundacja,False,fundacja,NGO / Association / Foundation
Zakładzie Rachunkowości Gospodarstw Rolnych,zakład rachunkowości gospodarstwo rolny,False,zakład rachunkowości gospodarstwo rolny,Other / Unclear
Azoty Tarnów,azota tarny,False,azota tarny,Company / Business
PWSZ,padzwęczy,False,padzwęczy,Other / Unclear
TechTransBalt,techtransbalt,False,techtransbalt,International Organization / EU
Silesia MacroSynthGroup,silesia macrosynthgroup,False,silesia macrosynthgroup,Company / Business
Erasmus,erasmus,False,erasmus,International Organization / EU
Białoruskiego Towarzystwa Historycznego,białoruski towarzystwo historyczny,False,białoruski towarzystwo historyczny,NGO / Association / Foundation
IZ PIB,inięm_pa pib,True,inięm_pa pib,Other / Unclear
Lubuskiego Wojewódzkiego Konserwatora Zabytków,lubuski wojewódzki konserwator zabytek,False,lubuski wojewódzki konserwator zabytek,Government / Public Administration
Narodowe Centrum Kultury,narodowy centrum kultura,False,narodowy centrum kultura,Government / Public Administration
Global Biodiversity Information Facility,global biodiversity information facility,False,global biodiversity information facility,International Organization / EU
Starostwem Powiatowym w Przysusze,starostwo powiatowym w przysusze,False,starostwo powiatowym w przysusze,Government / Public Administration
UTH,uthównam,False,uthównam,Other / Unclear
Centrum Technologii Językowych,centrum technologia językowy,False,centrum technologia językowy,Company / Business
PPWB,powppęc,False,powppęc,Other / Unclear
Łódzkiej Specjalnej Strefy Ekonomicznej,łódzki specjalny strefa ekonomiczny,False,łódzki specjalny strefa ekonomiczny,Government / Public Administration
Ventos-Farma,ventos - farma,False,ventos - farma,Company / Business
JPI Oceans,ja oceans,False,ja oceans,International Organization / EU
BDL,biętzy_intymi,True,biętzy_intymi,Government / Public Administration
Forskning.no,forskning.no,False,forskning.no,Company / Business
Krajowa Szkoła Administracji Publicznej,krajowy szkoła administracja publiczny,False,krajowy szkoła administracja publiczny,Government / Public Administration
Polską Radą Języka Migowego,polski rada język migowego,False,polski rada język migowego,Government / Public Administration
Veolia Energia Poznań S.A.,veolia energia poznań s.a .,False,veolia energia poznań s.a.,Company / Business
Stowarzyszenie Plantatorów MiniKiwi,stowarzyszenie plantator minik,False,stowarzyszenie plantator minik,NGO / Association / Foundation
Sejmowej Komisji Zdrowia,sejmowy komisja zdrowie,False,sejmowy komisja zdrowie,Government / Public Administration
OBM UW,obm uw,False,obm uw,Other / Unclear
Zespołem,zespół,False,zespół,Other / Unclear
OPMO,opmo,False,opmo,Military / Defense / Security
ZHW,zhw,False,zhw,NGO / Association / Foundation
Narodowy Bank Polski,narodowy bank polski,False,narodowy bank polski,Government / Public Administration
SMS Group,sil group,False,sil group,Company / Business
PolarTaskForce,polartaskforce,False,polartaskforce,International Organization / EU
Kościoła,kościół,False,kościół,Religious Organization
Centrum Dialogu im. Marka Edelmana,centrum dialog on . marka edelman,False,centrum dialog on . marka edelman,Cultural Institution / Arts
ESO,eso,False,eso,International Organization / EU
ZAP Rachunkowość,zap rachunkowość,False,zap rachunkowość,Company / Business
MGP Cosmetics,milityd cosmetics,False,milityd cosmetics,Company / Business
ZHP,zotym_podobne,True,zotym_podobne,NGO / Association / Foundation
MACVIA,macvia,False,macvia,International Organization / EU
Polskim Towarzystwem Psychologicznym o. Szczecin,polski towarzystwo psychologiczny o . szczecin,False,polski towarzystwo psychologiczny o . szczecin,NGO / Association / Foundation
IEC,iec,False,iec,Company / Business
PALOS SPORTS,palos sports,False,palos sports,Company / Business
IF UMK,if umka,False,if umka,Other / Unclear
CDiS SZ,cdis sz,False,cdis sz,Military / Defense / Security
Shim-pol,shim - poleł,False,shim - poleł,Company / Business
KPSW,kiek,False,kiek,Other / Unclear
Ministerstwa Infrastruktury,ministerstwo infrastruktura,False,ministerstwo infrastruktura,Government / Public Administration
Kancelarii Prezesa Rady Ministrów,kancelaria prezes rada minister,False,kancelaria prezes rada minister,Government / Public Administration
ICAO,icao,False,icao,International Organization / EU
WSH,wint_zofini,True,wint_zofini,Other / Unclear
OAUJ,oauj,False,oauj,Other / Unclear
Amnesty International,amnesty international,False,amnesty international,International Organization / EU
United State Patent and Trade Office,united state patent and trade office,False,united state patent and trade office,International Organization / EU
MŚP,miliard,False,miliard,Company / Business
IChTJ,ichtj,False,ichtj,Other / Unclear
Teatr BOTO,teatr boto,False,teatr boto,Cultural Institution / Arts
Rady Miasta Szczecin,rada miasto szczecin,False,rada miasto szczecin,Government / Public Administration
Ośrodków Terapii Uzależnień,ośrodek terapia uzależnienie,False,ośrodek terapia uzależnienie,Health / Hospitals / Medical
Grupą Azoty S.A.,grupa azota s.a .,False,grupa azota s.a.,Company / Business
PCG Academia,pog academia,False,pog academia,Company / Business
Wyroby Betonowe R. Szczepański,wyrób betonowy rok . szczepański,False,wyrób betonowy rok . szczepański,Company / Business
Stowarzyszenie Weteranów Força Expedicionária Brasileira,stowarzyszenie weteran forçe expedicionária brasileira,False,stowarzyszenie weteran forçe expedicionária brasileira,NGO / Association / Foundation
Ogólnopolskiego Porozumienia Lokalnych Organizacji,ogólnopolski porozumienie lokalny organizacja,False,ogólnopolski porozumienie lokalny organizacja,NGO / Association / Foundation
Muzeum Historii Żydów Polskich POLIN,muzeum historia żyd polski polin,False,muzeum historia żyd polski polin,Cultural Institution / Arts
AGP,agp,False,agp,Company / Business
Roche,roche,False,roche,Company / Business
Biblioteki ASP,biblioteka aspycpyptad,False,biblioteka aspycpyptad,Education (non-university)
Wojewódzkich Funduszy Ochrony Środowiska i Gospodarki Wodnej,wojewódzki fundusz ochrona środowisko i gospodarka wodny,False,wojewódzki fundusz ochrona środowisko i gospodarka wodny,Government / Public Administration
Krajowa Rada Regionalnych Izb Obrachunkowych,krajowy rada regionalny izba obrachunkowy,False,krajowy rada regionalny izba obrachunkowy,Government / Public Administration
Stowarzyszenia Tłumaczy Literatury,stowarzyszenie tłumaczyć literatura,False,stowarzyszenie tłumaczyć literatura,NGO / Association / Foundation
Naczelna Rada Adwokacka,naczelna rada adwokacka,False,naczelna rada adwokacka,Government / Public Administration
GOPZiPU,gopzip,False,gopzip,Government / Public Administration
WADA,wada,False,wada,International Organization / EU
Polską Służbę Więzienną,polski służba więziennia,False,polski służba więziennia,Military / Defense / Security
PolLASA,pollasa,False,pollasa,NGO / Association / Foundation
Unii Europejskiej,unia europejski,False,unia europejski,International Organization / EU
Photon Entertainment,photon entertainment,False,photon entertainment,Company / Business
ATH,ath,False,ath,Other / Unclear
UTW,utwał,False,utwał,Education (non-university)
Wodnego Ochotniczego Pogotowia Ratunkowego,wodny ochotniczy pogotowie ratunkowy,False,wodny ochotniczy pogotowie ratunkowy,NGO / Association / Foundation
MiIZ,miiza,False,miiza,Cultural Institution / Arts
Regionalnym Oddziałem Polskiej Izby Biegłych Rewidentów,regionalny oddziałem polski izba biegły rewident,False,regionalny oddziałem polski izba biegły rewident,Government / Public Administration
Komisję ds. Zachowania Żywych Zasobów Morskich Antarktyki,komisja do_spraw . zachowanie żywy zasób morski antarktyki,True,komisja ds. zachowanie żywy zasób morski antarktyki,Government / Public Administration
IKEA,ikea,False,ikea,Company / Business
ISP,is_ty_ap,True,is_ty_ap,Other / Unclear
Teatr ZAR,teatr zar,False,teatr zar,Cultural Institution / Arts
Niepublicznym Przedszkolem UKSW,niepubliczny przedszkole uks,False,niepubliczny przedszkole uks,Education (non-university)
Urząd Zamówień Publicznych,urząd zamówienie publiczny,False,urząd zamówienie publiczny,Government / Public Administration
FAO,fao,False,fao,International Organization / EU
SJPiK,sjpik,False,sjpik,NGO / Association / Foundation
Forte Sweden,forte sweden,False,forte sweden,Government / Public Administration
CIONET,cionet,False,cionet,Company / Business
EUIPO,euipo,False,euipo,International Organization / EU
Polską Fundacją Narodową,polski fundacją narodowy,False,polski fundacją narodowy,Government / Public Administration
Urzędzie Patentowym Rzeczpospolitej Polskiej,urząd patentowy rzeczpospolita polski,False,urząd patentowy rzeczpospolita polski,Government / Public Administration
WH AGH,wh agh,False,wh agh,Other / Unclear
Radia Kraków,radio krak,False,radio krak,Media / Publishing
Hnoss,hnoss,False,hnoss,Company / Business
Służbą Ostrzeżeń Nawigacyjnych BHMW,służba ostrzeżenie nawigacyjny bomwa,False,służba ostrzeżenie nawigacyjny bomwa,Military / Defense / Security
IWP,io,False,io,Other / Unclear
IBBiOŚ,ibbioś,False,ibbioś,Other / Unclear
WZ UW,wz uw,False,wz uw,Other / Unclear
Platformie Ekspertów PW,platforma ekspert pod_wezwaniem,True,platforma ekspert pod_wezwaniem,Other / Unclear
Europejskie Towarzystwo Logistyczne,europejski towarzystwo logistyczny,False,europejski towarzystwo logistyczny,NGO / Association / Foundation
London Philharmonic Orchestra,london philharmonic orchestra,False,london philharmonic orchestra,Cultural Institution / Arts
Fundacja Greenpeace,fundacja greenpeace,False,fundacja greenpeace,NGO / Association / Foundation
ŻChZZ,żchzz,False,żchzz,NGO / Association / Foundation
HANBUD,hanbud,False,hanbud,Company / Business
Delegatury NIK,delegatury nik,False,delegatury nik,Government / Public Administration
Ministerstwo Rozwoju i Inwestycji,ministerstwo rozwój i inwestycja,False,ministerstwo rozwój i inwestycja,Government / Public Administration
EOG,eog,False,eog,Company / Business
The New York Times,the new york times,False,the new york times,Media / Publishing
Vitkovice Milmet SA,vitkovice milmet sa,False,vitkovice milmet sa,Company / Business
Erg-Pet,erg-pet,True,erg-pet,Company / Business
Senatu,senat,False,senat,Government / Public Administration
Towarowej Giełdzie Energii S.A.,towarowa giełda energia s.a .,False,towarowa giełda energia s.a.,Company / Business
Stiftung Bayerische Gedenkstätte,stiftung bayerische gedenkstätte,False,stiftung bayerische gedenkstätte,NGO / Association / Foundation
ORKWIZ,orkwiz,False,orkwiz,Other / Unclear
Gdański Ośrodek Promocji Zdrowia i Profilaktyki Uzależnień,gdański ośrodek promocja zdrowie i profilaktyka uzależnienie,False,gdański ośrodek promocja zdrowie i profilaktyka uzależnienie,Health / Hospitals / Medical
Centrum Diagnostyki PKP PLK,centrum diagnostyka podpata plk,False,centrum diagnostyka podpata plk,Government / Public Administration
MELA,mela,False,mela,Other / Unclear
WILiT,wilit,False,wilit,Other / Unclear
Uniwersyteckie Studio Filmowe,uniwersytecki studio filmowy,False,uniwersytecki studio filmowy,Other / Unclear
POZ,poz,False,poz,Health / Hospitals / Medical
ODN,odn,False,odn,Education (non-university)
Wipasz S.A.,wipasz s.a .,False,wipasz s.a.,Company / Business
BBMRI-ERIC,bbmri - eric,False,bbmri - eric,Media / Publishing
RWE Supply & Trading GmbH,rwa supply & trading gieb,False,rwa supply & trading gieb,Company / Business
IEiF,ieif,False,ieif,Other / Unclear
Rosmmann,rosmmann,False,rosmmann,Company / Business
Rady Ministrów RP,rada minister roktóry,False,rada minister rp,Government / Public Administration
Wydawnictwa Katechetycznego,wydawnictwo katechetycznego,False,wydawnictwo katechetycznego,Media / Publishing
Przedsiębiorstwa Produkcyjno-Consultingowego ADOB,przedsiębiorstwo produkcyjno - consultingowegego adob,False,przedsiębiorstwo produkcyjno - consultingowegego adob,Company / Business
PMAB,pmab,False,pmab,Other / Unclear
Europejski Trybunał Obrachunkowy,europejski trybunał obrachunkowy,False,europejski trybunał obrachunkowy,International Organization / EU
NFM,nier,False,nier,Company / Business
Biblioteca Jagellonica,bibliotec jagellonica,False,bibliotec jagellonica,Education (non-university)
Związku Transgranicznego Euroregion Roztocze,związek transgraniczny euroregion roztocze,False,związek transgraniczny euroregion roztocze,International Organization / EU
Centrum Koordynacji Projektów Środowiskowych,centrum koordynacja projekt środowiskowy,False,centrum koordynacja projekt środowiskowy,Government / Public Administration
Rzeczpospolitej,rzeczpospolita,False,rzeczpospolita,Government / Public Administration
Muzeum Dyplomacji i Uchodźstwa Polskiego,muzeum dyplomacja i uchodźstwo polski,False,muzeum dyplomacja i uchodźstwo polski,Cultural Institution / Arts
Zakład Dynamiki Układu Słonecznego i Planetologii,zakład dynamiki układ słoneczny i planetologii,False,zakład dynamiki układ słoneczny i planetologii,Other / Unclear
Platforma Europejskiej Pamięci i Sumienia,platforma europejski pamięć i sumienie,False,platforma europejski pamięć i sumienie,International Organization / EU
Polskim Radiu Zachód,polski radio zachód,False,polski radio zachód,Media / Publishing
Milanowskie Centrum Kultury,milanowski centrum kultura,False,milanowski centrum kultura,Cultural Institution / Arts
Urzędem Marszałkowskim,urząd marszałkowski,False,urząd marszałkowski,Government / Public Administration
NCBiR Lubelska Wyżyna Technologii Fotonicznych,ncbir lubelska wyżyna technologia fotoniczny,False,ncbir lubelska wyżyna technologia fotoniczny,Company / Business
OSM Krasnystaw,onm krasnystaw,False,onm krasnystaw,Company / Business
Stowarzyszenie Inicjatyw Młodzieży Olkuskiej,stowarzyszenie inicjatywa młodzież olkuski,False,stowarzyszenie inicjatywa młodzież olkuski,NGO / Association / Foundation
UJCM,ujcp,False,ujcp,Other / Unclear
Bank Plemników Żubra,bank plemnik żubro,False,bank plemnik żubro,Health / Hospitals / Medical
Wydawnictwie Scholar,wydawnictwie scholar,False,wydawnictwie scholar,Media / Publishing
Uniwersytecie Jagiellońskim,uniwersytet jagielloński,False,uniwersytet jagielloński,Other / Unclear
Wspólnota Sumienia,wspólnota sumienie,False,wspólnota sumienie,NGO / Association / Foundation
Warsaw City Lab,warsaw cit rok,False,warsaw cit rok,Other / Unclear
TAURON Dystrybucja S.A.,tauron dystrybucja s.a .,False,tauron dystrybucja s.a.,Company / Business
PREF-BET Sp. z o.o.,pref-bet sa . z ograniczona_odpowiedzialność .,True,pref-bet s.a. z o.o.,Company / Business
MFiPR,mfipr,False,mfipr,Government / Public Administration
IPCZD,ipczd,False,ipczd,Health / Hospitals / Medical
Regionalnych Centrów Krwiodawstwa i Krwiolecznictwa,regionalny centrum krwiodawstwo i krwiolecznictwo,False,regionalny centrum krwiodawstwo i krwiolecznictwo,Government / Public Administration
Stowarzyszenie Natureef,stowarzyszenie natureef,False,stowarzyszenie natureef,NGO / Association / Foundation
IWM,iwm,False,iwm,Other / Unclear
Quriers,quriers,False,quriers,Company / Business
Centralny Ośrodek Badania Odmian Roślin Uprawnych,centralny ośrodek badanie odmiana roślina uprawny,False,centralny ośrodek badanie odmiana roślina uprawny,Government / Public Administration
SEPR,sepracp,False,sepracp,Other / Unclear
Bilingualism Matters,bilingualis matters,False,bilingualis matters,Education (non-university)
B2Holding,b2holding,False,b2holding,Company / Business
Rady Społeczno-Gospodarczej GZM,rada społeczny - gospodarczy gins,False,rada społeczny - gospodarczy gins,Government / Public Administration
ICES,ices,False,ices,International Organization / EU
Ministerstwie Spraw Zagranicznych,ministerstwo sprawa zagraniczny,False,ministerstwo sprawa zagraniczny,Government / Public Administration
ITI Hellas,iti hellas,False,iti hellas,Other / Unclear
Komendę Miejską Policji,komenda miejski policja,False,komenda miejski policja,Military / Defense / Security
TPC DM,taczącp dent,False,taczącp dent,Other / Unclear
Kiwa Nederland B.V.,kiwa nederland boktącp .,False,kiwa nederland boktącp .,Company / Business
ZM „Jasiołka,zmięt_zyk „ jasiołka,True,zmięt_zyk „ jasiołka,Company / Business
Sejm RP,sejm roktóry,False,sejm rp,Government / Public Administration
GOZ,goz,False,goz,Other / Unclear
PES,pes,False,pes,Other / Unclear
MREdu,mred,False,mred,Other / Unclear
Centralną Agencję Wywiadowczą Stanów Zjednoczonych,centralna agencja wywiadowczy stan zjednoczyć,False,centralna agencja wywiadowczy stan zjednoczyć,Government / Public Administration
Segula,segula,False,segula,Company / Business
TCN,to_conap,True,to_conap,Other / Unclear
BWW,bok,False,bok,Company / Business
